X,Y,Z
329001.586469829,7743200,406.802105039051
329000,7743200.36407853,406.810856588281
329000.510614505,7743200,406.806255777688
329000,7743200,406.808225770595
329000.664518293,7743201.30386758,406.81508370194
329000,7743201.30387761,406.817637204007
329000,7743202.24366129,406.824439056311
329002.680385125,7743204.1547894,406.827889950299
329000,7743204.15483013,406.83824406933
329000,7743206.06603112,406.852092889953
329000.664484807,7743207.00577308,406.856335607281
329000,7743207.00578321,406.858891868658
329000,7743207.94552005,406.865712313157
329000,7743209.85673681,406.879555835795
329002.680351596,7743209.85669566,406.869189525761
329000,7743211.76798542,406.893443643201
329000.664451629,7743212.70768073,406.897702096177
329000,7743212.70769096,406.900261020632
329000,7743213.6473814,406.907100100413
329000,7743215.55864563,406.92098221173
329002.680318377,7743215.55860407,406.910604092578
329000,7743217.46994142,406.934909100172
329000.664418773,7743218.40959053,406.939183431192
329000,7743218.40960086,406.941744916603
329000,7743219.34924537,406.948602679391
329000,7743221.26055661,406.962523467611
329002.680285478,7743221.26051465,406.952133945591
329000,7743223.1718991,406.97648954071
329000.664386252,7743224.1115025,406.980779903002
329000,7743224.11151293,406.983343840944
329000,7743225.05111198,406.990220339086
329000,7743226.96246976,407.004179901563
329002.680252914,7743226.9624274,406.993779409
329000,7743228.87385846,407.018185272284
329000.66435408,7743229.81341665,407.022491830323
329000,7743229.81342717,407.02505810564
329000,7743230.75298127,407.031953396091
329000,7743232.66438509,407.0459518393
329002.680220697,7743232.66434233,407.035540836372
329000,7743234.5758195,407.059996629892
329000.66432227,7743235.51533298,407.06431955981
329000,7743235.51534359,407.066888050171
329000,7743236.45485327,407.073802194443
329000,7743238.36630261,407.08783963386
329002.680188843,7743238.36625946,407.077418610438
329000,7743240.27778219,407.101923975749
329000.664290838,7743241.2172515,407.10626346575
329000,7743241.21726221,407.108834041185
329000,7743242.15672801,407.115767105296
329000,7743244.06822233,407.129843665318
329002.680157366,7743244.06817879,407.119413142877
329000,7743245.97974654,407.143967698957
329000.664259798,7743246.91917224,407.148323949726
329000,7743246.91918304,407.150896472148
329000,7743247.85860552,407.157848526526
329000,7743249.77014427,407.171964340269
329002.68012628,7743249.77010035,407.161524873883
329000,7743251.68171252,407.186128214947
329000.664229166,7743252.6210952,407.190501440053
329000,7743252.62110609,407.193075762759
329000,7743253.56048583,407.200046882149
329000,7743255.47206844,407.214202091258
329002.680095601,7743255.47202414,407.203754271655
329000,7743257.38368014,407.228405964878
329000.664198958,7743258.3230204,407.232796391184
329000,7743258.32303138,407.235372358341
329000,7743259.26236899,407.242362621673
329000,7743261.17399484,407.25655737626
329002.680065345,7743261.17395018,407.246101832362
329000,7743263.08564938,407.270801415334
329000.66416919,7743264.02494784,407.275209283628
329000,7743264.02495891,407.277786729614
329000,7743264.96425503,407.284796219853
329000,7743266.8759235,407.299030676727
329000.66413988,7743269.72687755,407.317740620079
329000,7743268.78762024,407.31331505553
329000,7743269.7268887,407.320319369292
329000,7743270.66614399,407.327348173897
329002.680006169,7743272.57780905,407.331153556355
329000,7743272.57785443,407.341622501442
329000.664111046,7743275.42880953,407.360390933128
329000,7743274.48959269,407.355947402286
329000,7743275.42882077,407.362970799028
329000,7743276.36803591,407.370019007981
329002.679977285,7743278.27974192,407.373858841032
329000,7743278.27978764,407.384333376636
329000.664082707,7743281.13074381,407.403160766768
329000,7743280.19156673,407.39869898697
329000,7743281.13075513,407.405741551706
329000,7743282.06993084,407.412809258502
329002.679948895,7743283.9816771,407.416684524568
329000,7743283.98172315,407.427163847554
329000.664054882,7743286.8326804,407.446050691251
329000,7743285.89354234,407.441570363126
329000,7743286.83269179,407.448632185219
329000,7743287.7718288,407.455719487039
329002.679921019,7743289.68361459,407.459631223625
329000,7743289.68366097,407.470114481903
329000.664027592,7743292.53461931,407.489061295177
329000,7743291.59551952,407.48456210414
329000,7743292.53463078,407.491643275732
329000,7743293.47372986,407.498750272442
329002.679893676,7743295.38555443,407.502699574778
329000,7743295.38560111,407.513185864069
329000.664000858,7743298.23656056,407.532193184143
329000,7743297.29749824,407.527674799743
329000,7743298.2365721,407.53477541559
329000,7743299.17563405,407.541902209567
329002.679866889,7743301.08749662,407.545890232566
329000,7743301.0875436,407.556378593724
329000.663974702,7743303.93850416,407.575446978617
329000,7743302.99947849,407.570909054218
329000,7743303.93851577,407.578029211344
329000,7743304.87754142,407.585175907123
329002.679840681,7743306.78944119,407.589203867424
329000,7743306.78948846,407.599693283676
329000.663949148,7743309.64045014,407.618823311705
329000,7743308.70146027,407.614265484181
329000,7743309.64046181,407.621405281502
329000,7743310.57945203,407.62857198535
329002.679815073,7743312.49138814,407.632641163278
329000,7743312.49143569,407.643130557388
329000.488179164,7743315.59094924,407.664908945456
329000,7743314.76866293,407.660535098017
329000,7743315.5437045,407.666445411467
329000,7743316.28135419,407.672091210109
329000,7743318.17972636,407.686585843282
329000.663874179,7743321.04430453,407.705945456689
329000,7743320.10542121,407.701346926209
329000,7743321.0443126,407.708525874546
329000,7743321.98317613,407.715732349024
329002.679728168,7743323.89522415,407.719888474919
329000,7743323.89525709,407.73037389391
329000.663813585,7743326.74619407,407.74969221518
329000,7743325.80739602,407.745072854646
329000,7743326.74620223,407.752271334629
329000,7743327.68498073,407.759497725913
329002.679667295,7743329.5971146,407.763699856706
329000,7743329.59714793,407.774181465831
329000,7743331.50937284,407.788923431807
329000.663753273,7743332.44808602,407.793564048444
329000,7743332.44809428,407.796141538081
329000,7743333.38678816,407.803387947246
329002.679606702,7743335.29900748,407.807637646004
329000,7743335.29904119,407.818114094329
329000,7743337.21135164,407.832899290892
329000.663693273,7743338.14998041,407.837561607238
329000,7743338.14998875,407.840137117392
329000,7743339.08859847,407.847403644528
329002.679546419,7743341.00090281,407.85170254794
329000,7743341.00093688,407.862172408694
329000,7743342.91333241,407.877001058376
329000.663633615,7743343.85187725,407.881685535769
329000,7743343.85188568,407.884258697713
329000,7743344.79041173,407.891545441253
329000,7743346.70283503,407.906357028814
329000.66357433,7743349.55377657,407.92593646746
329000,7743348.61531511,407.921229349832
329000,7743349.55378507,407.928506892584
329000,7743350.49222801,407.935813948588
329000,7743352.40473566,407.950668560756
329000.663515451,7743355.25567837,407.970315020492
329000,7743354.31729973,407.965584765479
329000,7743355.25568695,407.972882299471
329000,7743356.19404737,407.980209760849
329000,7743358.10663879,407.995107592117
329000.663457014,7743360.95758269,408.014821792901
329000,7743360.01928622,408.01006788534
329000,7743360.95759133,408.017385494837
329000,7743361.89586987,408.024733450516
329000,7743363.80854443,408.039674686928
329000.663399055,7743366.65948954,408.059457357399
329000,7743365.72127455,408.054679264081
329000,7743366.65949824,408.062017028943
329000,7743367.5976956,408.06938556299
329000,7743369.5104526,408.0843703803
329000.663341614,7743372.36139894,408.10422225582
329000,7743371.42326469,408.099419425502
329000,7743372.36140768,408.106777420278
329000,7743373.29952462,408.11416661093
329000,7743375.21236332,408.129195172461
329000.663284732,7743378.06331089,408.14911699228
329000,7743377.12525659,408.144288856021
329000,7743378.06331968,408.151667148757
329000,7743379.00135701,408.159077063671
329000,7743380.91427661,408.174149511319
329000.663228452,7743383.76522543,408.194142018309
329000,7743382.82725022,408.189287988685
329000,7743383.76523426,408.196686640423
329000,7743384.70319284,408.204117350394
329000,7743386.61619247,408.219233830842
329000.663172819,7743389.46714257,408.239297767292
329000,7743388.52924551,408.234417239431
329000,7743389.46715142,408.241836302943
329000,7743390.4050322,408.249287858834
329000,7743392.31811092,408.26444847836
329000.66311788,7743395.1690623,408.284584582995
329000,7743394.23124242,408.279676934732
329000,7743395.16907117,408.287116452794
329000,7743396.10687515,408.294588898735
329000,7743398.02003198,408.309793749004
329000.663063687,7743400.87098466,408.330002754945
329000,7743399.93324088,408.325067346728
329000,7743400.87099354,408.33252735141
329000,7743401.80872179,408.340020719944
329002.678913734,7743403.72191933,408.344991823081
329000,7743403.72195564,408.355269868273
329000.663010292,7743406.57290964,408.375552499611
329000,7743405.63524082,408.370588674954
329000,7743406.57291851,408.378069186168
329000,7743407.5105722,408.385583496865
329002.678860073,7743409.42384562,408.390629855071
329000,7743409.42388193,408.400876983322
329000.66295775,7743412.27483725,408.421233951673
329000,7743411.33724219,408.416241037568
329000,7743412.27484611,408.423742061639
329000,7743413.21242646,408.43127731964
329002.678807273,7743415.12577458,408.436401687424
329000,7743415.12581083,408.446615153981
329000.66290612,7743417.97676749,408.467047154906
329000,7743417.03924489,408.462024462255
329000,7743417.97677633,408.469545990457
329000,7743418.91428466,408.477102184923
329002.678755391,7743420.82770621,408.482307412808
329000,7743420.82774236,408.492484343357
329000.662855462,7743423.67870038,408.51299205239
329000,7743422.74124885,408.507938876561
329000,7743423.67870918,408.515480883519
329000,7743424.61614688,408.523057985993
329002.67870449,7743426.52964052,408.52834702144
329000,7743426.52967652,408.538484407743
329000.662805842,7743429.3806359,408.559068476281
329000,7743428.44325397,408.55398409769
329000,7743429.38064465,408.561546539742
329000,7743430.31801322,408.56914450242
329002.678654636,7743432.2315775,408.574520390602
329000,7743432.2316133,408.584615086097
329000.662757326,7743435.08257405,408.60527613689
329000,7743434.14526015,408.600159821713
329000,7743435.08258274,408.607742635126
329000,7743436.01988377,408.61536138903
329002.678605898,7743437.93351715,408.62082727345
329000,7743437.93355269,408.630875988797
329000.662709986,7743440.78451483,408.651614611217
329000,7743439.84726728,408.646465612158
329000,7743440.78452344,408.654068711286
329000,7743441.7217586,408.66170816434
329002.678558346,7743443.63545946,408.667267287294
329000,7743443.63549468,408.677266585889
329000.662663894,7743446.48645821,408.698083330856
329000,7743445.54927525,408.692900888018
329000,7743446.48646673,408.700524163343
329000,7743447.42363783,408.708184198331
329002.678512057,7743449.33740442,408.713839901135
329000,7743449.33743926,408.723786194587
329000.662619128,7743452.18840419,408.744681569171
329000,7743451.25128393,408.739464911031
329000,7743452.18841259,408.747108227095
329000,7743453.12552153,408.754788699532
329002.67846711,7743455.03935202,408.760544422613
329000,7743455.0393864,408.770433966201
329000.662575771,7743457.89035273,408.791408427897
329000,7743456.95329319,408.786156772379
329000,7743457.89036101,408.793819965614
329000,7743458.82740981,408.801520701478
329002.678423587,7743460.74130222,408.807379984172
329000,7743460.74133608,408.817208872284
329000.662533905,7743463.59230382,408.838262822918
329000,7743462.65530287,408.832975378582
329000,7743463.59231195,408.84065825502
329000,7743464.52930274,408.848379048394
329002.678381575,7743466.44325501,408.854345528579
329000,7743466.44328826,408.864109690144
329000,7743468.35731282,408.879919436764
329000.66249362,7743469.29425742,408.885243469421
329000,7743469.29426538,408.887621769636
329000,7743470.23120042,408.895362380206
329000,7743472.14524292,408.911134987537
