X,Y,Z,SignedDistance
329314.1,7744801.47,406,224.768
329315.369747655,7744801.67110827,404.467911113762,223.344
329316.63949531,7744801.87221654,402.935822227524,221.929
329317.909242965,7744802.07332481,401.403733341286,220.523
329319.17899062,7744802.27443309,399.871644455048,219.126
329320.448738276,7744802.47554136,398.33955556881,217.739
329321.718485931,7744802.67664963,396.807466682572,216.362
329322.988233586,7744802.8777579,395.275377796334,214.994
329324.257981241,7744803.07886617,393.743288910096,213.636
329325.527728896,7744803.27997444,392.211200023858,212.288
329326.797476551,7744803.48108272,390.67911113762,210.951
329328.067224206,7744803.68219099,389.147022251383,209.624
329329.336971862,7744803.88329926,387.614933365145,208.308
329330.606719517,7744804.08440753,386.082844478907,207.003
329331.905849574,7744804.29016952,384.576388676164,205.534
329333.214773766,7744804.49748274,383.078477234586,203.842
329334.523697958,7744804.70479597,381.580565793008,202.155
329335.832622149,7744804.9121092,380.08265435143,200.475
329337.141546341,7744805.11942242,378.584742909852,198.8
329338.450470533,7744805.32673565,377.086831468274,197.131
329339.759394725,7744805.53404887,375.588920026696,195.469
329341.068318916,7744805.7413621,374.091008585118,193.813
329342.377243108,7744805.94867532,372.59309714354,192.163
329343.6861673,7744806.15598855,371.095185701962,190.52
329344.995091492,7744806.36330177,369.597274260384,188.885
329346.304015683,7744806.570615,368.099362818806,187.256
329347.612939875,7744806.77792823,366.601451377228,185.634
329348.921864067,7744806.98524145,365.10353993565,184.02
329350.230788259,7744807.19255468,363.605628494072,182.413
329351.53971245,7744807.3998679,362.107717052494,180.815
329352.848636642,7744807.60718113,360.609805610915,179.224
329354.157560834,7744807.81449435,359.111894169338,177.642
329355.466485026,7744808.02180758,357.613982727759,176.068
329356.775409217,7744808.2291208,356.116071286182,174.503
329358.084333409,7744808.43643403,354.618159844603,172.947
329359.393257601,7744808.64374726,353.120248403025,171.4
329360.702181792,7744808.85106048,351.622336961448,169.862
329362.011105984,7744809.05837371,350.124425519869,168.335
329363.320030176,7744809.26568693,348.626514078292,166.674
329364.628954368,7744809.47300016,347.128602636713,164.946
329365.937878559,7744809.68031338,345.630691195135,163.224
329367.246802751,7744809.88762661,344.132779753557,161.509
329368.564715441,7744810.09636347,342.643019436482,159.794
329369.89161663,7744810.30652397,341.161410243908,158.08
329371.218517818,7744810.51668448,339.679801051335,156.372
329372.545419006,7744810.72684498,338.198191858761,154.672
329373.872320195,7744810.93700548,336.716582666188,152.978
